Sample,SMILES,Protein adsorption / ng cm-2,Protein MW / kDa,Protein Charge (pI),Thickness (nm),Type,Predicted Zeta (mV),Predicted CA (deg),Ref
PBMA ,C=C(C)C(=O)OCCCC,238.3958669993418,66.5,4.7,11.962,BSA,-18.940662,81.8446148,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PHEMA ,C=C(C)C(=O)OCCO,36.26004855247392,66.5,4.7,16.822,BSA,-12.367573,47.56197349,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PmOEGMA,C=C(C)C(=O)OCCOCCOCCOCCOC,16.654331172202415,66.5,4.7,17.9,BSA,-8.504514,51.628971,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PMEA ,C=CC(=O)OCCOC,4.85154856871822,66.5,4.7,19.78895833,BSA,-2.4740336,53.04858971,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PAEMA ,C=C(C)C(=O)OCC[NH3+].[Cl-],456.9890251385681,66.5,4.7,9.2225,BSA,26.610718,44.12879224,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PCBMA ,C=C(C)C(=O)OCC[N+](C)(C)CCC(=O)[O-],17.02481723907573,66.5,4.7,19.38733333,BSA,-8.906415,19.46224107,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PMPC ,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,0.0,66.5,4.7,12.49,BSA,-1.2724454,12.31850893,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PMPS,C=C(C)C(=O)OCCCS(=O)(=O)[O-].[K+],30.233909535936718,66.5,4.7,18.93,BSA,-51.27758,13.96648194,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],538.0996923817697,66.5,4.7,7.3,BSA,29.687649,20.68649027,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.3c02472
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],658.5955221885438,66.5,4.7,11.8,BSA,43.05105,20.76245473,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.3c02472
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],676.4845838841433,66.5,4.7,6.2,BSA,39.607033,20.67168302,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.3c02472
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],682.1561664735534,66.5,4.7,17.6,BSA,44.641705,20.89647337,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.3c02472
PmOEGMA,C=C(C)C(=O)OCCOCCOCCOCCOC,9.879267043002784,66.5,4.7,6.8,BSA,-8.700059,50.54834982,https://www.sciencedirect.com/science/article/pii/S0927776517305544?via%3Dihub
PMPC ,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,0.0,66.5,4.7,7.7,BSA,-8.6514435,12.01372055,https://www.sciencedirect.com/science/article/pii/S0927776517305544?via%3Dihub
PAEMA ,C=C(C)C(=O)OCC[NH3+].[Cl-],630.0305263158333,66.5,4.7,5.3,BSA,24.585434,44.09321156,https://www.tandfonline.com/doi/full/10.1080/09205063.2019.1710900
PMAA,C=C(C)C(=O)OCCNC(=O)CCC(=O)O,382.80212567796053,66.5,4.7,3.3,BSA,-34.07377,31.86992648,https://www.tandfonline.com/doi/full/10.1080/09205063.2019.1710900
PMPC ,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,0.0,66.5,4.7,5.9,BSA,-2.4862142,11.9086381,https://pubs.acs.org/doi/full/10.1021/acsami.6b01213
PAEMA ,C=C(C)C(=O)OCC[NH3+].[Cl-],661.1574501214699,66.5,4.7,5.0,BSA,24.470623,44.09075795,https://pubs.acs.org/doi/full/10.1021/acsami.6b01213
